0,KAL0974310.1,70.588,51,15,0,2,52,166,216,6.35e-21,93.6,98.04
0,XP_079084720.1,73.077,52,14,0,1,52,940,991,7.83e-21,94.4,94.23
0,KAK2848860.1,73.077,52,14,0,1,52,632,683,8.06e-21,94.4,94.23
0,KAI3351475.1,73.077,52,14,0,1,52,952,1003,9.70e-21,94.4,96.15
0,XP_034398892.1,73.077,52,14,0,1,52,834,885,1.04e-20,94.0,94.23
0,XP_067454429.1,71.154,52,15,0,1,52,893,944,1.39e-20,93.6,96.15
0,KAM9356664.1,71.154,52,15,0,1,52,907,958,1.79e-20,93.6,94.23
0,XP_049898119.1,71.154,52,15,0,1,52,863,914,1.88e-20,93.6,94.23
0,CAB1460765.1,75.000,52,13,0,1,52,492,543,1.90e-20,93.2,88.46
0,XP_042348829.1,71.154,52,15,0,1,52,1153,1204,2.01e-20,93.2,94.23
0,XP_067373872.1,71.154,52,15,0,1,52,897,948,2.01e-20,93.2,92.31
0,XP_044219177.1,71.154,52,15,0,1,52,902,953,2.05e-20,93.2,96.15
0,XP_029369087.1,71.154,52,15,0,1,52,888,939,2.09e-20,93.2,94.23
0,XP_046262910.1,71.154,52,15,0,1,52,861,912,2.11e-20,93.2,94.23
0,XP_045885735.1,71.154,52,15,0,1,52,840,891,2.45e-20,93.2,94.23
0,XP_035506505.2,72.549,51,14,0,2,52,902,952,2.47e-20,93.2,94.12
0,XP_079892215.1,71.154,52,15,0,1,52,947,998,2.49e-20,93.2,94.23
0,XP_074505310.1,71.154,52,15,0,1,52,946,997,2.54e-20,93.2,94.23
0,KAK2904426.1,71.154,52,15,0,1,52,910,961,2.57e-20,93.2,92.31
0,XP_023849523.1,69.231,52,16,0,1,52,989,1040,2.86e-20,92.8,96.15
0,XP_062249902.1,75.000,52,13,0,1,52,877,928,2.89e-20,92.8,90.38
0,XP_044061864.1,71.154,52,15,0,1,52,914,965,2.91e-20,92.8,94.23
0,XP_056295640.1,71.154,52,15,0,1,52,836,887,2.94e-20,92.8,94.23
0,XP_054648859.1,71.154,52,15,0,1,52,878,929,2.97e-20,92.8,92.31
0,XP_074529760.1,71.154,52,15,0,1,52,931,982,3.06e-20,92.8,94.23
0,XP_053285208.1,75.000,52,13,0,1,52,892,943,3.12e-20,92.8,88.46
0,KAN1029147.1,71.154,52,15,0,1,52,945,996,3.44e-20,92.8,94.23
0,KAM7389104.1,71.154,52,15,0,1,52,737,788,3.47e-20,92.8,94.23
0,XP_056295642.1,71.154,52,15,0,1,52,869,920,3.90e-20,92.4,94.23
0,XP_057914097.2,71.154,52,15,0,1,52,873,924,4.02e-20,92.4,90.38
0,XP_060903549.1,69.231,52,16,0,1,52,934,985,4.56e-20,92.4,96.15
0,XP_075959553.1,71.154,52,15,0,1,52,946,997,4.65e-20,92.4,94.23
0,XP_019936270.2,71.154,52,15,0,1,52,925,976,4.83e-20,92.0,92.31
0,KAM9849644.1,71.154,52,15,0,1,52,934,985,4.88e-20,92.0,92.31
0,KAM7417237.1,71.154,52,15,0,1,52,984,1035,5.03e-20,92.0,92.31
0,XP_058506572.1,73.077,52,14,0,1,52,913,964,5.13e-20,92.0,90.38
0,XP_054453569.1,71.154,52,15,0,1,52,899,950,5.18e-20,92.0,94.23
0,XP_026214216.1,71.154,52,15,0,1,52,904,955,5.33e-20,92.0,92.31
0,XP_034545945.1,71.154,52,15,0,1,52,880,931,5.65e-20,92.0,92.31
0,XP_026186736.1,69.231,52,16,0,1,52,948,999,5.82e-20,92.0,94.23
0,XP_069526364.1,69.231,52,16,0,1,52,939,990,5.87e-20,92.0,94.23
0,XP_041800377.1,69.231,52,16,0,1,52,887,938,6.17e-20,92.0,94.23
0,XP_071778865.2,71.154,52,15,0,1,52,928,979,7.00e-20,91.7,92.31
0,CAJ1059042.1,69.231,52,16,0,1,52,936,987,8.02e-20,91.7,94.23
0,XP_030001691.1,69.231,52,16,0,1,52,936,987,9.02e-20,91.3,92.31
0,MBN3319878.1,71.154,52,15,0,1,52,1021,1072,9.56e-20,91.3,90.38
0,XP_068447771.1,71.154,52,15,0,1,52,940,991,1.03e-19,91.3,92.31
0,XP_010727808.1,69.231,52,16,0,1,52,886,937,1.12e-19,91.3,90.38
0,XP_015200773.2,71.154,52,15,0,1,52,948,999,1.27e-19,90.9,90.38
0,XP_053179658.1,67.308,52,17,0,1,52,887,938,1.28e-19,90.9,96.15
0,KAM3612867.1,69.231,52,16,0,1,52,759,810,1.31e-19,90.9,92.31
